sociedad_sap,fondo_sap,centro_gestor_sap,pospre_sap,cuenta_sap,acreedor_sap,contrato_sap,proveedor,rfc_proveedor,lugar_servicio_nombre,numero_contrato,nombre_contrato,plurianual,tipo_entrega,moneda_documento,numero_oficio_tramite,fecha_oficio_tramite,numero_factura,fecha_factura,periodo_contable,estimado,concepto,importe_moneda_original,iva_moneda_original,total_moneda_original,numero_documento_pasivo,fecha_contable_pasivo,tc_contable_pasivo,importe_pasivo_mxn,iva_pasivo_mxn,total_pasivo_mxn
2502,,,,,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-000095,,2,,8,false,CVT,$647.73,$103.64,$751.37,180007304,,$12.72,"$8,237.77","$1,318.04","$9,555.81"
2502,,,,,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-000095,,2,,8,false,CFT,"$2,753,681.58","$440,589.05","$3,194,270.63",180007304,,$12.72,"$35,021,046.97","$5,603,367.51","$40,624,414.48"
2502,,,,,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-000105,,3,,9,false,CVT,$769.85,$123.18,$893.03,180007700,,$13.16,"$10,130.69","$1,620.91","$11,751.60"
2502,,,,,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-000105,,3,,9,false,CFT,"$2,581,576.48","$413,052.24","$2,994,628.72",180007700,,$13.16,"$33,971,739.37","$5,435,478.30","$39,407,217.67"
2502,,,,,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-000120,,5,,10,false,CVT,$752.97,$120.48,$873.45,180008840,,$13.13,"$9,889.58","$1,582.33","$11,471.92"
2502,,,,,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-000120,,5,,10,false,CFT,"$2,667,629.03","$426,820.64","$3,094,449.67",180008840,,$13.13,"$35,036,906.44","$5,605,905.03","$40,642,811.47"
2502,,,,,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-000129,,7,,11,false,CVT,$323.07,$51.69,$374.76,180009734,,$13.20,"$4,265.85",$682.54,"$4,948.38"
2502,,,,,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-000129,,7,,11,false,CFT,"$2,581,576.48","$413,052.24","$2,994,628.72",180009734,,$13.20,"$34,087,394.00","$5,453,983.04","$39,541,377.04"
2502,,,,,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-000003,,10,,12,false,CVT,"$2,004.88",$320.78,"$2,325.66",180000189,,$13.14,"$26,344.72","$4,215.16","$30,559.88"
2502,,,,,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-000003,,10,,12,false,CFT,"$2,667,629.03","$426,820.64","$3,094,449.67",180000189,,$13.14,"$35,053,445.74","$5,608,551.32","$40,661,997.06"
2502,,,,,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-010/2014,,11,,1,false,CFT,"$4,521,956.53","$723,513.04","$5,245,469.57",180000937,,$13.31,"$60,202,616.07","$9,632,418.57","$69,835,034.64"
2502,,,,,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-010/2014,,11,,1,false,CVT,"$2,255.97",$360.96,"$2,616.93",180000937,,$13.31,"$30,034.63","$4,805.54","$34,840.17"
2502,,,,,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-015/2014,,12,,2,false,CFT,"$4,084,347.83","$653,495.65","$4,737,843.48",180001408,,$13.32,"$54,403,921.53","$8,704,627.44","$63,108,548.98"
2502,,,,,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-015/2014,,12,,2,false,CVT,"$2,005.70",$320.91,"$2,326.61",180001408,,$13.32,"$26,716.12","$4,274.58","$30,990.70"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-023-2014,,13,,3,false,CFT,"$4,521,956.53","$723,513.04","$5,245,469.57",180002280,04/04/2014,$13.10,"$59,233,560.78","$9,477,369.73","$68,710,930.51"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-023-2014,,13,,3,false,CVT,"$2,363.20",$378.11,"$2,741.31",180002280,04/04/2014,$13.10,"$30,955.79","$4,952.93","$35,908.72"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-033/2014,,14,,4,false,CFT,"$4,376,086.96","$700,173.91","$5,076,260.87",180003374,,$12.92,"$56,535,980.26","$9,045,756.84","$65,581,737.10"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-033/2014,,14,,4,false,CVT,"$2,206.66",$353.07,"$2,559.73",180003374,,$12.92,"$28,508.50","$4,561.36","$33,069.86"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-037/2014,,15,,5,false,CFT,"$4,521,956.53","$723,513.04","$5,245,469.57",180003913,05/06/2014,$12.94,"$58,535,370.69","$9,365,659.31","$67,901,030.00"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-037/2014,,15,,5,false,CVT,"$2,424.10",$387.86,"$2,811.96",180003913,05/06/2014,$12.94,"$31,379.25","$5,020.68","$36,399.93"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-041/2014,,16,,6,false,CFT,"$4,376,086.96","$700,173.91","$5,076,260.87",180005015,,$13.00,"$56,895,694.61","$9,103,311.14","$65,999,005.75"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-041/2014,,16,,6,false,CVT,"$2,145.50",$343.28,"$2,488.78",180005015,,$13.00,"$27,894.72","$4,463.15","$32,357.87"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-044/2014,,17,,7,false,CFT,"$4,521,956.53","$723,513.04","$5,245,469.57",180005622,,$13.19,"$59,659,076.89","$9,545,452.30","$69,204,529.19"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-044/2014,,17,,7,false,CVT,"$2,350.97",$376.16,"$2,727.13",180005622,,$13.19,"$31,016.82","$4,962.69","$35,979.51"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,FALTA,,20,,8,false,CFT,"$4,521,956.53","$723,513.04","$5,245,469.57",180006345,,$13.13,"$59,372,837.04","$9,499,653.93","$68,872,490.97"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,FALTA,,20,,8,false,CVT,"$2,366.83",$378.69,"$2,745.53",180006345,,$13.13,"$31,076.27","$4,972.20","$36,048.47"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-047/2014,,21,,9,false,CFT,"$4,376,086.96","$700,173.91","$5,076,260.87",180007262,08/10/2014,$13.41,"$58,678,512.44","$9,388,561.99","$68,067,074.43"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-047/2014,,21,,9,false,CVT,"$2,199.09",$351.85,"$2,550.94",180007262,08/10/2014,$13.41,"$29,487.38","$4,717.98","$34,205.36"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-053/2014,,22,,10,false,CFT,"$4,521,956.53","$723,513.04","$5,245,469.57",180008148,04/11/2104,$13.48,"$60,943,764.74","$9,751,002.36","$70,694,767.10"
2502,A02,2277,2233,453882,4326979,800642440,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-053/2014,,22,,10,false,CVT,"$2,220.90",$355.34,"$2,576.24",180008148,04/11/2104,$13.48,"$29,931.74","$4,789.08","$34,720.81"
N000,A01,N331,7237,468074,4326979,800832773,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-326/2018,, 286 FE,,5,false,CVT,"$2,319.65",$371.14,"$2,690.79",180002129,12/06/2018,20.5281,"$47,618.01","$7,618.88","$55,236.89"
N000,A01,N306,2280,453658,4326979,800912796,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA-INTERCONEXION ENCINO,,Servicio,USD,SREN-FP-000/2025,, FE,,12,false,CFT,"$447,053.49","$71,528.56","$518,582.05",,12/11/2025,22,"$9,835,176.78","$1,573,628.28","$11,408,805.06"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-000/2025,,0000 FE,,12,false,CVT,"$3,500.45",$560.07,"$4,060.52",180004298,09/10/2025,22,"$77,009.90","$12,321.58","$89,331.48"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-000/2025,,0000 FE,,12,false,CVT,"$2,720.45",$435.27,"$3,155.72",180004300,09/10/2025,22,"$59,849.90","$9,575.98","$69,425.88"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-000/2025,,0000 FE,,12,false,CVT,"$12,948.59","$2,071.77","$15,020.36",180004301,09/10/2025,22,"$284,868.98","$45,579.04","$330,448.02"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-000/2025,,0000 FE,,12,false,CVT,"$5,260.57",$841.69,"$6,102.26",180004302,09/10/2025,22,"$115,732.54","$18,517.21","$134,249.75"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-000/2025,,0000 FE,,12,false,CVT,$595.99,$95.36,$691.35,180004303,09/10/2025,22,"$13,111.78","$2,097.88","$15,209.66"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-094/2023,,1000 FE,,4,false,CVT,"$3,539.37",$566.30,"$4,105.67",180001441,08/05/2023,17.906,"$63,375.96","$10,140.15","$73,516.11"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-094/2023,,1001 FE,,4,false,CVT,$591.33,$94.61,$685.94,180001442,08/05/2023,17.906,"$10,588.35","$1,694.14","$12,282.49"
N000,A01,N306,2280,453658,4326979,800912792,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-094/2023,,1002 FE,,4,false,CFT,"$4,722,396.00","$755,583.36","$5,477,979.36",180001444,08/05/2023,17.906,"$84,559,222.78","$13,529,475.64","$98,088,698.42"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-094/2023,,1003 FE,,4,false,CVT,"$2,107.00",$337.12,"$2,444.12",180001446,08/05/2023,17.906,"$37,727.94","$6,036.47","$43,764.41"
N000,A01,N306,2280,453658,4326979,800912796,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA-INTERCONEXION ENCINO,,Servicio,USD,SREN-FP-112/2023,,1010 FE,,5,false,CFT,"$447,053.49","$71,528.56","$518,582.05",180001989,08/06/2023,17.5063,"$7,826,252.51","$1,252,200.40","$9,078,452.91"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-112/2023,,1011 FE,,5,false,CVT,"$3,999.61",$639.94,"$4,639.55",180001990,08/06/2023,17.5063,"$70,018.37","$11,202.94","$81,221.31"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-112/2023,,1012 FE,,5,false,CVT,$642.54,$102.81,$745.35,180001991,08/06/2023,17.5063,"$11,248.50","$1,799.76","$13,048.26"
N000,A01,N306,2280,453658,4326979,800912792,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-112/2023,,1013 FE,,5,false,CFT,"$4,722,396.00","$755,583.36","$5,477,979.36",180001992,08/06/2023,17.5063,"$82,671,681.09","$13,227,468.98","$95,899,150.07"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-112/2023,,1014 FE,,5,false,CVT,"$2,409.11",$385.46,"$2,794.57",180001994,08/06/2023,17.5063,"$42,174.60","$6,747.94","$48,922.54"
N000,A01,N306,2280,453658,4326979,800912796,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA-INTERCONEXION ENCINO,,Servicio,USD,SREN-FP-142/2023,,1022 FE,,6,false,CFT,"$447,053.49","$71,528.56","$518,582.05",180002465,07/07/2023,17.1358,"$7,660,619.19","$1,225,699.07","$8,886,318.26"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-142/2023,,1023 FE,,6,false,CVT,"$4,024.88",$643.98,"$4,668.86",180002466,07/07/2023,17.1358,"$68,969.54","$11,035.13","$80,004.66"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-142/2023,,1024 FE,,6,false,CVT,$673.77,$107.80,$781.57,180002468,07/07/2023,17.1358,"$11,545.59","$1,847.29","$13,392.88"
N000,A01,N306,2280,453658,4326979,800912792,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-142/2023,,1025 FE,,6,false,CFT,"$4,722,396.00","$755,583.36","$5,477,979.36",180002469,07/07/2023,17.1358,"$80,922,033.38","$12,947,525.34","$93,869,558.72"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-142/2023,,1026 FE,,6,false,CVT,"$2,629.38",$420.70,"$3,050.08",180002470,07/07/2023,17.1358,"$45,056.53","$7,209.04","$52,265.57"
N000,A01,N306,2280,453658,4326979,800912796,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA-INTERCONEXION ENCINO,,Servicio,USD,SREN-FP-171/2023,,1033 FE,,7,false,CFT,"$447,053.49","$71,528.56","$518,582.05",180003056,08/08/2023,17.0555,"$7,624,720.80","$1,219,955.33","$8,844,676.13"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-171/2023,,1034 FE,,7,false,CVT,"$4,276.19",$684.19,"$4,960.38",180003048,08/08/2023,17.0555,"$72,932.56","$11,669.21","$84,601.77"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-171/2023,,1035 FE,,7,false,CVT,$742.55,$118.81,$861.36,180003050,08/08/2023,17.0555,"$12,664.56","$2,026.33","$14,690.89"
N000,A01,N306,2280,453658,4326979,800912792,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-171/2023,,1036 FE,,7,false,CFT,"$4,722,396.00","$755,583.36","$5,477,979.36",180003052,08/08/2023,17.0555,"$80,542,824.98","$12,886,852.00","$93,429,676.97"
N000,A01,N306,2281,453659,4326979,800912837,TARAHUMARA PIPELINE S DE RL DE CV,,,,GASODUCTO CORREDOR CHIHUAHUA,,Servicio,USD,SREN-FP-171/2023,,1037 FE,,7,false,CVT,"$2,585.71",$413.71,"$2,999.42",180003054,08/08/2023,17.0555,"$44,100.58","$7,056.09","$51,156.67"
