batch_id,fecha,nombre_combustible,nombre_unidad_medida,nombre_central,precio_vinculante_combustibles,fuente,observaciones,archivo_origen,fecha_carga,usuario_carga
785247e1-1b12-4ace-ab0b-c005c0806b77,01/04/2026,,,CCC Saltillo,$52.63,,,,16:04.8,
,02/04/2026,,,CCC Saltillo,$51.47,,,,,
,03/04/2026,,,CCC Saltillo,$49.67,,,,,
,04/04/2026,,,CCC Saltillo,$49.69,,,,,
,05/04/2026,,,CCC Saltillo,$49.69,,,,,
,06/04/2026,,,CCC Saltillo,$49.69,,,,,
,07/04/2026,,,CCC Saltillo,$50.65,,,,,
,08/04/2026,,,CCC Saltillo,$53.31,,,,,
,09/04/2026,,,CCC Saltillo,$51.98,,,,,
,10/04/2026,,,CCC Saltillo,$50.00,,,,,
,11/04/2026,,,CCC Saltillo,$47.88,,,,,
,12/04/2026,,,CCC Saltillo,$47.88,,,,,
,13/04/2026,,,CCC Saltillo,$47.88,,,,,
,14/04/2026,,,CCC Saltillo,$48.63,,,,,
,15/04/2026,,,CCC Saltillo,$46.46,,,,,
,16/04/2026,,,CCC Saltillo,$48.57,,,,,
,17/04/2026,,,CCC Saltillo,$47.90,,,,,
,18/04/2026,,,CCC Saltillo,$46.82,,,,,
,19/04/2026,,,CCC Saltillo,$46.82,,,,,
,20/04/2026,,,CCC Saltillo,$46.82,,,,,
,21/04/2026,,,CCC Saltillo,$47.96,,,,,
,22/04/2026,,,CCC Saltillo,$47.68,,,,,
,23/04/2026,,,CCC Saltillo,$48.42,,,,,
,24/04/2026,,,CCC Saltillo,$49.14,,,,,
,25/04/2026,,,CCC Saltillo,$46.62,,,,,
,26/04/2026,,,CCC Saltillo,$46.62,,,,,
,27/04/2026,,,CCC Saltillo,$46.62,,,,,
,28/04/2026,,,CCC Saltillo,$0.00,,,,,
,29/04/2026,,,CCC Saltillo,$0.00,,,,,
,30/04/2026,,,CCC Saltillo,$0.00,,,,,
