"id_central_generacion","nombre_central","ubicacion_estado","ubicacion_municipio","tipo_central","estado_operacion","capacidad_mw","combustible_principal","combustible_secundario","created_at","updated_at"
"1","CT  Carbon II","Coahuila","Nava","Central Termoelectrica","operando","1400.0","Carbon    "," Diesel","2025-10-30 16:44:37.456318+00","2025-10-30 17:12:26.422006+00"
"2","CT  Guadalupe Victoria","Coahuila","Villa Juárez ","Central Termoelectrica","operando","320.0","Gas Natural","Combustoleo    Diesel","2025-10-30 16:44:37.456318+00","2025-10-30 17:12:26.422006+00"
"3","CCC El Encino","Chihuahua","El Encino","Central Ciclo Combinado","operando","220.0","Gas Natural ","Combustoleo","2025-10-30 16:44:37.456318+00","2025-10-30 17:12:26.422006+00"
"4","CT Emilio Portes Gil (U3)","Tamaulipas","Río Bravo","Central Termoelectrica","operando","300.0","Gas Natural","","2025-10-30 16:44:37.456318+00","2025-10-30 17:12:26.422006+00"
"5","CCC   Emilio Portes Gil (U4) ","Tamaulipas","Río Bravo","Central Ciclo Combinado","operando","225.0","Gas Natural","","2025-10-30 16:44:37.456318+00","2025-10-30 17:12:26.422006+00"
"6","CT Francisco Villa","Chihuahua","Delicias ","Central Termoeléctrica ","operando","316.0","Gas Natural ","Combustoleo    Diesel (Pilotos)","2025-10-30 16:44:37.456318+00","2025-10-30 17:12:26.422006+00"
"7","CCC  Gomez Palacio","Coahuila","Gomez Palacio","Central Ciclo Combinado","operando","240.0","Gas Natural","","2025-10-30 16:44:37.456318+00","2025-10-30 17:12:26.422006+00"
"8","CTG  Monclova","Coahuila","Monclova","Central Termoelectrica","operando","55.0","Gas Natural","","2025-10-30 16:44:37.456318+00","2025-10-30 17:12:26.422006+00"
"9","CTG  Tecnologico","Nuevo Leon","Monterrey","Central Termoelectrica","operando","30.0","Diesel","","2025-10-30 16:44:37.456318+00","2025-10-30 17:12:26.422006+00"
"10","CTG   Universidad","Nuevo Leon","Monterrey","Central Termoelectrica","operando","28.0","Gas Natural","","2025-10-30 16:44:37.456318+00","2025-10-30 17:12:26.422006+00"
"11","CTG  Leona","Nuevo Leon","Monterrey","Central Termoelectrica","operando","28.0","Gas Natural","","2025-10-30 16:44:37.456318+00","2025-10-30 17:12:26.422006+00"
